,state,DEMOCRAT,REPUBLICAN,OTHER,Total,State Name,demShare,gopShare,indShare,margin
0,ALABAMA,678687.0,975737.0,0.0,1654424.0,alabama,0.4102255528208005,0.5897744471791996,0.0,0.1795488943583991
1,ALASKA,131199.0,149779.0,0.0,280978.0,alaska,0.4669369132102869,0.533063086789713,0.0,0.06612617357942613
2,ARIZONA,1179193.0,1139251.0,22378.0,2340822.0,arizona,0.5037516735574085,0.4866884367969884,0.009559889645603125,-0.017063236760420042
3,ARKANSAS,312978.0,556339.0,19625.0,888942.0,arkansas,0.3520792132670073,0.6258439808221459,0.022076805910846826,0.27376476755513857
4,CALIFORNIA,8010445.0,3973396.0,200681.0,12184522.0,california,0.6574279237215871,0.32610191848313785,0.016470157795275022,-0.33132600523844924
5,COLORADO,1343211.0,1079772.0,90563.0,2513546.0,colorado,0.5343888673610907,0.42958115745643805,0.0360299751824713,-0.10480770990465266
6,CONNECTICUT,808652.0,512495.0,58644.0,1379791.0,connecticut,0.5860684697899899,0.3714294411255038,0.04250208908450628,-0.21463902866448614
7,DELAWARE,227353.0,125384.0,0.0,352737.0,delaware,0.6445396995495227,0.3554603004504773,0.0,-0.28907939909904545
8,FLORIDA,3307232.0,3675417.0,38715.0,7021364.0,florida,0.4710241485842352,0.5234619655098354,0.005513885905929389,0.05243781692560018
9,GEORGIA,1814469.0,1987191.0,0.0,3801660.0,georgia,0.47728334464418176,0.5227166553558182,0.0,0.045433310711636476
10,HAWAII,287921.0,87348.0,7063.0,382332.0,hawaii,0.7530653986587573,0.228461128024858,0.018473473316384714,-0.5246042706338994
11,IDAHO,207303.0,367993.0,20337.0,595633.0,idaho,0.3480381375780052,0.6178183545908302,0.034143507831164495,0.269780217012825
12,ILLINOIS,2757540.0,1754449.0,25300.0,4537289.0,illinois,0.6077505752884597,0.3866734078433179,0.005576016868222412,-0.22107716744514178
13,INDIANA,1000104.0,1247978.0,8030.0,2256112.0,indiana,0.4432865035069181,0.5531542760288496,0.003559220464232272,0.10986777252193147
14,IOWA,664676.0,612338.0,38897.0,1315911.0,iowa,0.5051071083074767,0.4653339017608334,0.02955898993168991,-0.03977320654664335
15,KANSAS,464380.0,563190.0,22752.0,1050322.0,kansas,0.442131079802194,0.536206991760622,0.021661928437184026,0.09407591195842802
16,KENTUCKY,612977.0,935304.0,21471.0,1569752.0,kentucky,0.39049289314490443,0.595829150082306,0.013677956772789587,0.20533625693740154
17,LOUISIANA,553184.0,835715.0,71694.0,1460593.0,louisiana,0.3787393202623866,0.572175137084732,0.0490855426528814,0.1934358168223454
18,MAINE,340426.0,247514.0,29670.0,617610.0,maine,0.5511989767005068,0.4007609980408348,0.04804002525865838,-0.15043797865967196
19,MARYLAND,1493047.0,737906.0,53266.0,2284219.0,maryland,0.653635662780145,0.3230452071364436,0.02331913008341144,-0.3305904556437014
20,MASSACHUSETTS,1943597.0,497953.0,23881.0,2465431.0,massachusetts,0.7883396452790608,0.2019740159022905,0.009686338818648747,-0.5863656293767703
21,MICHIGAN,2175003.0,1853459.0,125460.0,4153922.0,michigan,0.5236022727436865,0.4461949454034043,0.03020278185290913,-0.07740732734028222
22,MINNESOTA,1420769.0,1125533.0,26517.0,2572819.0,minnesota,0.5522226787037876,0.4374707276337745,0.010306593662437972,-0.11475195107001313
23,MISSISSIPPI,398770.0,471162.0,68971.0,938903.0,mississippi,0.42471906043542307,0.501821806938523,0.07345913262605402,0.0771027465030999
24,MISSOURI,1027969.0,1330975.0,59453.0,2418397.0,missouri,0.42506213826762107,0.5503542222389459,0.024583639493433045,0.12529208397132485
25,MONTANA,233284.0,256661.0,14476.0,504421.0,montana,0.4624787627795036,0.5088229871476405,0.02869825007285581,0.0463442243681369
26,NEBRASKA,264493.0,432077.0,0.0,696570.0,nebraska,0.37970771063927533,0.6202922893607247,0.0,0.24058457872144934
27,NEVADA,491272.0,439727.0,29775.0,960774.0,nevada,0.5113294073320053,0.45767995387052524,0.03099063879746954,-0.053649453461480034
28,NEW HAMPSHIRE,311242.0,248986.0,10254.0,570482.0,new hampshire,0.5455772487124922,0.4364484769019881,0.017974274385519615,-0.10912877181050412
29,NEW JERSEY,1856819.0,1198664.0,43260.0,3098743.0,new jersey,0.5992168437330879,0.38682265679987016,0.013960499467041958,-0.21239418693321777
30,NEW MEXICO,404026.0,264701.0,24584.0,693311.0,new mexico,0.582748578920571,0.38179258658812565,0.035458834491303326,-0.20095599233244532
31,NEW YORK,3760566.0,1639593.0,541624.0,5941783.0,new york,0.6329019420601526,0.2759429282422465,0.09115512969760087,-0.3569590138179061
32,NORTH CAROLINA,1771061.0,1846041.0,46224.0,3663326.0,north carolina,0.483457109741257,0.503924848621171,0.012618041637571976,0.020467738879914044
33,NORTH DAKOTA,114377.0,193568.0,13066.0,321011.0,north dakota,0.3563024320038877,0.6029949129469083,0.04070265504920392,0.2466924809430206
34,OHIO,2082684.0,2291333.0,32181.0,4406198.0,ohio,0.4726714505339978,0.5200249739117488,0.0073035755542533495,0.04735352337775106
35,OKLAHOMA,428452.0,730531.0,19853.0,1178836.0,oklahoma,0.36345344051250555,0.6197053703823093,0.016841189105185114,0.2562519298698038
36,OREGON,1061412.0,702531.0,81445.0,1845388.0,oregon,0.5751700997297046,0.3806955502040763,0.04413435006621914,-0.19447454952562826
37,PENNSYLVANIA,2712665.0,2206260.0,10950.0,4929875.0,pennsylvania,0.5502502598950277,0.4475285884530541,0.002221151651918152,-0.10272167144197364
38,RHODE ISLAND,242575.0,129838.0,0.0,372413.0,rhode island,0.6513601834522426,0.34863981654775744,0.0,-0.3027203669044851
39,SOUTH CAROLINA,758340.0,927494.0,21668.0,1707502.0,south carolina,0.4441224666208297,0.5431876507318879,0.012689882647282404,0.09906518411105819
40,SOUTH DAKOTA,120816.0,202446.0,12209.0,335471.0,south dakota,0.3601384322340828,0.6034679599726951,0.036393607793222066,0.24332952773861227
