State,Total,Nike,Costco,Twitter,Facebook,Sears,Wells Fargo,Comcast,Mcdonalds ,United Airlines,Target,Bank of America,U.S.A.A ,Amazon ,Netflix,Microsoft,UPS ,Hobby Lobby,Wegmans ,Chick fil-A ,JP Morgan Chase,Honda ,Pepsi ,Aldi,American Airlines ,Burger king ,Capital One,Charter,Dicks sporting goods ,Dominos ,EA,Fidelety ,Ford,Forever 21 ,General Mills,GoldmanSachs,Hyundai,Kaiser Permentai,Kraft,L.L Bean,MasterCard,Coors,Nintendo ,Papa Johns,Paypal,Progressive,Publix,Southwest,Spirit Airlines,Subaru,Toyta ,United Healthcare,Volkswagon,Wendys ,Starbucks,Delta,Google,Ebay,State Farm,Verizon,AT&T,Fox,Shell,Ikea,T-mobile,Best buy,Lowes,CVS,Disney,Coca Cola,Kroger,J&J,Adidas,Walgreens,Sony,The Home Depot,Samsung,Nestle,Nordstrom,Kohls,Apple,Allstate,Dell,Dish,Fedex,Gamestop,Goya,Hp,Hulu,LG,MLB,NBA,NFL,REI,Clorox,Hershey
 ALABAMA (AL),3200,862,136,249,1969,129,721,145,1548,81,887,134,124,1010,1053,25,298,463,40,1316,10,225,486,406,31,1172,386,624,55,892,0,0,494,0,305,0,184,0,400,47,605,187,41,324,285,82,1144,127,114,48,856,122,0,971,586,412,2560,744,720,1948,1195,815,1581,52,246,704,1487,1175,67,457,1454,468,489,1125,1572,1154,2950,668,190,981,747,481,1378,353,460,229,1540,0,468,650,703,59,762,33,5555,4881
 ARIZONA (AZ),7107,1872,2385,496,3818,643,1637,155,3373,414,1393,1667,862,2723,2259,157,437,707,16,1339,38,1220,1252,0,931,2231,579,0,387,703,0,243,1378,269,311,0,289,0,739,14,1491,630,211,373,344,435,0,1110,101,167,1332,1299,254,1215,1749,674,5757,1587,1322,4770,741,2873,1555,639,1730,2321,2410,1663,675,608,2127,483,871,3725,3980,4311,6262,2575,1019,4016,2034,610,2692,1094,859,189,3327,436,1107,1996,3230,85,1855,377,11670,10602
 ARKANSAS (AR),2089,385,0,160,1142,5,49,26,1403,54,270,485,39,872,566,0,211,467,0,694,0,254,482,156,337,848,181,0,41,451,0,0,483,147,0,0,174,0,417,0,533,29,35,289,148,112,0,220,0,71,495,238,12,638,519,435,2134,564,552,311,1362,843,664,59,44,828,1284,221,12,196,912,105,91,965,1147,929,2084,1164,177,723,369,557,580,743,457,25,2173,58,410,892,421,160,300,41,4072,4661
 CALIFORNIA (CA),27925,6985,9952,3083,14995,4465,6559,3487,12727,2083,10504,8407,543,11915,10138,268,2143,1366,117,3890,269,6505,5957,675,2040,7140,3034,1555,1512,5959,146,913,4988,2928,1764,39,1044,5496,2659,324,5403,1811,552,1982,2744,879,116,3481,356,562,7434,1679,659,3989,11531,3925,25747,7500,3889,11643,9943,5684,8715,3229,6348,8285,6304,12490,5173,3611,10080,2591,5806,9110,19996,11767,24617,8739,9305,9441,10035,2815,10177,3811,4310,1885,24475,1210,4843,7535,11216,2666,6319,1333,55605,38321
 COLORADO (CO),3605,782,1113,316,2073,495,956,1319,2074,689,1447,365,296,1803,1268,32,105,610,0,1351,131,649,973,0,329,1284,738,45,449,838,10,368,683,155,180,11,280,665,211,35,805,382,96,389,342,187,0,910,161,405,750,434,131,1170,1362,602,3947,1024,1115,1608,860,825,1548,332,1041,2044,1316,167,350,546,3487,243,278,1389,3597,1854,4636,1264,1179,1885,800,330,1235,391,527,291,1763,184,1071,766,1344,62,810,407,6021,6248
 CONNECTICUT (CT),2823,470,550,555,1729,374,286,496,1290,323,910,748,51,1051,1215,4,194,89,0,326,5,259,527,318,149,550,397,257,304,288,38,177,612,275,141,0,289,0,186,130,713,153,23,191,158,195,6,306,20,480,192,321,196,693,514,624,2462,1029,169,1113,890,421,853,321,318,901,1002,1789,97,199,744,95,533,1022,2160,1412,2044,578,337,1644,1053,332,977,237,537,228,2838,28,464,805,1147,120,845,162,4952,3205
 DELAWARE (DE),466,91,71,11,306,48,99,219,316,13,148,20,73,179,145,0,21,0,13,190,0,86,82,14,17,169,41,0,57,122,0,5,80,20,41,0,40,0,89,0,88,32,3,41,19,35,0,24,0,19,25,69,20,148,106,74,483,130,114,497,64,43,118,30,47,98,212,88,38,75,145,112,39,287,343,131,567,182,15,150,156,62,191,49,70,18,520,18,29,201,176,10,80,0,1039,875
 DISTRICT OF COLUMBIA (DC),514,87,147,133,313,50,62,165,205,20,131,118,50,254,289,5,52,6,47,142,0,54,109,68,95,95,58,7,11,87,0,69,13,41,4,0,0,34,128,18,68,33,14,57,61,40,6,86,0,0,80,61,7,115,217,106,408,138,30,238,175,64,106,85,105,92,40,413,11,112,136,47,105,195,360,152,473,100,242,39,232,28,307,4,125,41,1381,12,218,151,183,19,203,51,935,844
 FLORIDA (FL),16956,4117,1856,2014,10095,2223,3414,3858,9089,772,4306,5522,813,7018,5858,199,1520,770,130,5152,73,2024,3137,2470,1496,5585,2244,249,1275,3138,43,554,3216,998,682,0,1292,2,1245,55,4583,482,577,1773,2106,2037,12002,1485,416,36,4193,1795,523,4068,6052,3472,15800,5474,3014,7235,5609,4205,7290,1535,3401,4832,6482,7778,851,1984,5794,1446,2318,9703,11109,9323,17293,4009,3137,5170,4099,2211,6556,1759,2627,1340,24865,963,2148,5588,6084,975,4047,74,32797,23764
 GEORGIA (GA),8322,2228,508,946,4845,1089,1816,1475,4398,281,1910,2085,795,3187,2577,71,647,1067,3,4547,54,1423,1454,825,473,3287,1017,469,779,1561,0,355,1574,401,348,0,330,98,1131,93,1887,424,240,1494,722,845,3609,518,258,136,2087,1271,305,2660,2512,2901,7300,1900,1868,4907,2671,2282,3265,280,1280,2071,3452,3417,267,935,2643,1012,1567,2599,5303,3877,7990,3317,719,2555,2395,1101,3695,2572,1303,348,8499,136,2007,2929,2365,788,1988,135,19509,13160
