,Twitter,Facebook,Sears Holdings Corporation,Wells Fargo & Company,Comcast,McDonald's,United Airlines,Target,Bank of America,Dollar General,JCPenney,Chipotle,Uber,Dollar Tree,General Motors,Walmart,Citigroup,Starbucks Corporation,Delta Air Lines,ExxonMobil,Fiat Chrysler Automobiles,Google,eBay,Ford Motor Company,State Farm Insurance,Tesla Motors,Macy's,"Electronic Arts, Inc.",Nike,Verizon Communications,BP,Toyota Motor Corporation,Yum! Brands,AT&T,IBM,Fox Corporation,American Express,Royal Dutch Shell,IKEA,The Trump Organization,T-Mobile,General Electric,PepsiCo,Honda Motor Company,Berkshire Hathaway,"HP, Inc.",JPMorgan Chase & Co.,Apple,Kohl's,Nordstrom,CVS (CVS Health),Best Buy,Procter & Gamble Co.,The Kroger Company,Lowe's,USAA,The Walt Disney Company,Amazon.com,The Coca-Cola Company,Netflix,Costco,Johnson & Johnson,Adidas,Microsoft,Walgreens,Sony,UPS,Patagonia,The Home Depot,Hobby Lobby,Publix Supermarkets,Unilever,Samsung,Nestle,Wegmans,Chick-fil-A
 AL,58.6,48,2.8,0,15,64.2,13.4,42.8,15,59.4,41.6,20.2,25,66.4,6.2,63,14.4,2.6,9.6,2.2,0,61.4,56.8,9.8,44.6,13.8,17.6,0,44.4,12.2,33.8,24.6,0,46.6,9.8,0,46,10,6,0,36.2,5.8,7,0,9.4,0,0,60.2,28.2,15.6,8.2,57.2,0,0,57.8,33,3.6,50.6,0,72.4,12,15.8,45.4,47,51.8,55.8,81.6,14.8,46.8,58,0,2,50.2,13.2,0,67.4
 AZ,67.67,36.67,35,0,10.33,61.33,24.67,51.33,53.33,7.33,58.33,45.33,43.67,57.67,7.67,49.33,14.33,15.33,9,1,2,76.33,55,6,29.33,19.67,35.33,0,43,28,18,11.67,0,23,13.67,22,42.67,16.67,14.33,0,49,4.33,9.67,0,8.67,0,12.67,62,36.67,29.33,20.67,72,0,0,31.33,25.67,5,52.33,12.67,83.67,54.33,11,50,51.67,62.33,66.67,84.67,32,76,31.67,0,2.33,56.33,15.33,0,27.67
 AR,56.25,42,11,0,13.25,70.75,16,35.25,24,50.75,50.75,14,23.25,67.25,5.25,78.75,6.25,4.75,0,2.25,0,81.25,55.25,7.75,55,8.5,12.5,0,42.5,9.25,23,7.5,0,64.5,12,0,36,9.25,6.5,0,20.75,3.5,33,0,6.5,0,0,58,28.75,13.25,2.5,58,0,0,50.5,14.75,0,45.5,0,78.75,3.5,10.25,45.75,46.75,52,52.5,74.25,16,35.5,59,0,31.25,49,39.25,0,42.75
 CA,71.92,33.92,4.92,0,21,54,36.25,59.17,69,7.67,38.33,39.33,47.75,52.67,6.08,34.83,15.08,19.5,4.83,1.17,1,84.5,52.17,4.5,26.83,30.25,56.58,0,45.17,21.17,17.33,22.92,0,34.33,12.25,12.17,41.83,8.42,16.58,8.25,44.25,3.92,8.58,6,10,0,7.42,70.17,35.5,48.58,18.42,67.25,0,0,23.83,14.42,13.75,49.33,6.08,85.25,73.58,10.67,57.17,48.33,35.5,75.58,84.25,22.5,64.08,22.67,0.17,3.92,50,19.92,0,18.58
 CO,58.67,37.67,0,0,34.33,54,68.33,46,13.33,5.67,34.67,45.67,42.33,47.33,5.33,42.33,8.67,4.33,5.67,1,2.33,67.67,49,5.67,37,21.67,19,0,30,5,16.33,2.67,0,23.67,14.33,0,35.67,12.33,14.33,0,47,3,6,0,9,0,0,59.67,38.33,26,4,62.67,0,0,35,40.67,9.67,53.67,8.33,81,26,11.33,35.33,52.67,58.33,68.67,82.67,30.67,58.67,44.67,0,2.33,51,15.33,0,45.33
 CT,79,31,0,0,47,56,23,48,68,10,29,38,48,53,7,33,47,15,13,4,0,74,50,6,21,16,56,0,42,49,21,36,0,26,25,0,51,15,20,0,36,10,9,0,25,0,0,78,55,39,58,60,0,0,31,14,36,51,0,75,24,15,49,52,48,63,85,23,78,14,0,10,43,19,1,21
 DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 FL,62.8,36.3,7.5,0,41.9,56.1,25.9,46.6,55.4,24.8,36.8,37.7,54.5,61.3,7.1,47.7,31.1,12.3,17,3.5,0.9,61.1,50,10.1,30.1,21.7,37.2,0,40.6,21.6,30.4,19.3,0,37.3,14.8,15.2,66.2,20.8,14.8,0,45.7,5.8,9.6,0,12.1,0,7.9,64.1,24.5,27.1,32.7,63.5,0,0,41.3,23.5,18.5,55.9,9.3,75,18.5,16.3,47.7,50.6,60.3,65,84.3,9.5,67.9,28.8,39.3,4.4,50.6,19,0,55.3
 GA,59,45.14,0.86,0,27.29,60.29,11.29,38,40.14,45.29,37.86,25.29,36.57,73.14,6.14,56.71,11.43,4.14,18.43,1.43,0.57,64.71,51.43,13.29,41,8.71,31.29,0,49.14,18.43,35.14,19.71,0,39.14,13,9.14,51.71,3.14,8.43,6.29,34.71,3.86,12.43,0,9.57,0,6.43,60,24.14,17.43,24.86,55.14,0,0,48.43,36.71,2.43,52,14.29,71.14,11.43,17,48.57,52.14,40.71,54.57,85.43,12.14,47,43.71,2.14,2.86,48.14,14.43,0,75.14
 ID,48,39.67,0,0,2.67,54,36.67,33.67,13.33,0.67,34,15.67,27,47.67,7,43.67,13.33,20.67,0,1,0,75,55,4,32.33,26.33,22,0,32,6,13.67,0,0,20.67,8.33,0,39,1.33,9,0,44.67,2,26,0,10.67,0,0,61.33,24,20,0,57.33,0,0,37.33,15,0,54,0,86,60.33,5,33,52,42.67,65,80,37,56.33,37.67,0,3,54,15.67,0,23
