,AT&T,Adidas,Aldi,Allstate,Amazon ,American Airlines,Apple,Bank of America,Best Buy,Burger King,CVS,Capital one,Charter,Chick-Fil-A ,Clorox,Coca-Cola,Comcast,Coors,Costco ,Dell,Delta,Dicks sporting goods,Dish,Disney,Dominos,EA,Ebay,Facebook,Fedex,Fidelty,Ford,Forever 21,Fox,Gamestop,General Mills,Goldman Sachs,Google,Goya,HP,Hershey,Hobby Lobby,Honda,Hulu,Hyundai,Ikea,Johnson & Johnson,Jp Morgan Chase,Kaiser Permanente,Kohls,Kroger ,L L Bean,LG,Lowe's,MLB,Mastercard,Mcdonalds ,Microsoft,NBA,NFL,Nestle,Netflix ,Nike,Nintendo,Nordstrom,Papa Johns,Paypal,Pepsi,Progressive,Publix,REI,Samsung,Sears,Shell,Sony,Southwest Airlines,Starbucks,State Farm,Subaru,T-Mobile,Target,The Home Depot,Toyota,Twitter ,UPS,USAA,United Airlines ,United HealthCare,Verizon,Volkswagon,Walgreens,Wegmans ,Wells Fargo ,Wendys,kraft
Alaska,66,31,1,51,91,27,65,55,48,32,3,14,26,6,51,16,3,2,54,51,91,6,45,18,34,59,51,63,53,0,59,33,65,41,0,7,69,31,59,3,4,61,83,30,22,20,0,3,16,3,0,38,43,29,39,50,46,62,64,80,69,34,63,50,31,59,15,49,0,100,76,67,51,68,4,26,61,57,12,27,48,60,47,65,100,23,15,16,71,26,0,79,28,39
Alabama,77,52,43,57,71,22,58,16,77,100,43,27,67,60,100,43,19,2,15,44,49,56,85,41,76,56,81,100,66,24,62,50,71,82,9,9,75,23,66,3,87,90,71,93,24,29,16,2,28,10,13,76,75,30,55,79,49,72,39,50,62,78,71,18,61,100,16,47,44,7,70,63,82,54,10,39,77,12,29,42,53,74,66,84,57,9,44,61,55,50,1,59,38,42
Arkansas,92,39,38,44,67,32,57,38,73,60,9,26,8,43,67,24,11,2,3,41,40,23,98,32,62,52,73,94,75,72,65,34,53,60,17,7,100,24,71,3,73,88,77,59,20,23,13,1,29,31,9,71,59,59,50,89,51,67,41,99,69,72,66,11,33,82,16,41,1,7,75,75,53,43,14,36,72,19,13,33,50,66,55,78,30,13,34,44,56,59,1,11,44,54
Arizona,31,55,3,37,79,100,65,80,78,74,37,28,14,31,56,25,8,4,58,52,34,34,61,30,51,52,58,71,72,47,52,56,62,76,10,12,76,31,69,3,43,75,91,75,75,19,28,7,40,4,5,81,33,54,52,73,57,67,78,66,69,70,76,38,37,86,15,63,0,32,77,65,55,73,90,80,63,26,42,51,75,68,73,91,57,27,100,49,70,79,1,90,34,38
California,61,93,16,35,79,42,82,86,84,50,38,24,30,14,74,17,26,3,76,53,39,30,51,38,49,76,58,57,79,51,42,99,40,72,8,19,89,32,67,3,23,100,78,64,100,20,16,98,33,2,6,70,26,55,59,65,57,94,56,90,65,90,78,81,17,91,15,37,0,42,79,81,68,100,21,95,31,36,60,63,100,83,80,91,31,35,32,33,63,37,1,66,25,45
Colorado,37,41,4,40,77,42,63,19,78,59,6,27,25,35,51,20,61,43,40,55,48,59,67,26,66,50,54,62,78,53,51,35,60,60,9,13,83,32,65,3,52,67,81,54,87,26,19,93,40,5,9,70,37,44,46,63,59,57,80,53,67,53,66,42,31,78,100,59,0,83,71,63,61,74,91,71,50,74,42,48,69,66,61,91,77,79,50,43,73,61,1,70,46,44
Connecticut,43,62,29,43,80,42,80,88,74,49,64,31,37,11,67,21,45,2,26,51,43,59,36,36,40,63,61,55,73,68,42,78,50,71,12,32,98,78,66,8,10,84,66,77,82,29,27,3,57,1,30,56,37,70,67,61,62,75,62,71,67,70,70,41,7,72,15,50,1,17,64,82,61,66,10,45,18,70,26,45,70,58,81,88,22,19,44,44,90,41,5,26,31,48
Delaware,36,48,24,35,83,51,73,37,84,54,20,38,35,36,54,27,83,2,16,48,20,64,37,39,45,58,59,69,52,0,56,66,53,68,12,20,76,49,49,24,8,80,50,66,46,23,100,3,52,1,22,49,66,57,81,51,49,79,92,65,58,70,63,38,35,60,19,55,0,18,69,81,53,60,14,28,52,28,29,40,57,50,73,78,46,14,53,100,82,78,31,49,37,73
Florida,57,67,56,49,74,74,67,98,86,88,51,35,25,44,60,29,49,1,22,46,46,42,43,100,58,66,64,69,78,50,49,70,48,75,8,12,74,56,67,4,31,78,63,100,81,29,20,2,28,1,8,82,45,49,80,84,52,86,55,56,56,65,72,34,57,88,17,78,100,7,79,75,67,72,27,56,44,20,54,48,94,67,67,91,49,24,79,35,66,73,2,71,68,50
Georgia,81,71,57,65,66,31,63,75,77,91,47,30,38,100,85,100,48,2,20,45,100,56,67,36,68,57,60,79,74,59,60,65,63,82,15,13,72,33,60,3,65,92,63,78,60,32,17,42,35,59,11,76,51,33,56,85,51,90,55,49,54,79,69,29,74,94,18,71,47,21,68,63,62,62,28,57,85,19,40,42,88,68,69,95,71,14,54,43,63,45,2,70,71,38
Hawaii,44,56,2,32,79,63,76,16,64,44,12,18,14,3,75,18,3,2,100,38,57,6,26,40,56,70,56,45,61,0,35,51,35,44,4,11,82,78,56,3,2,94,69,42,22,14,10,91,4,0,0,42,28,36,100,73,54,96,74,48,68,62,56,60,22,81,13,32,0,14,75,89,65,96,6,74,32,24,60,48,51,100,58,75,75,100,29,38,63,22,0,9,20,33
Iowa,20,43,47,25,75,31,61,14,74,53,8,21,6,20,50,26,3,4,15,45,34,43,85,28,38,57,68,77,54,35,64,31,52,56,33,11,87,21,67,3,66,63,85,36,30,25,13,2,64,1,8,65,35,59,41,71,52,62,59,75,74,80,73,17,32,67,22,61,0,13,68,64,57,50,11,39,48,25,11,56,32,48,80,73,14,18,50,47,54,56,1,50,31,70
Idaho,24,27,2,44,93,16,64,15,66,49,3,19,23,17,53,17,3,4,64,39,50,39,93,27,77,55,71,75,61,0,68,25,62,44,13,9,82,19,100,3,29,78,94,42,30,19,13,5,23,2,7,66,42,32,32,46,61,50,64,54,87,56,65,17,18,77,24,46,0,37,73,57,47,54,22,34,36,65,36,30,70,77,48,88,34,25,24,60,85,45,1,67,30,44
