,state,DEMOCRAT,INDEPENDENT,REPUBLICAN,Total,dem_votes_share,rep_votes_share,indep_votes_share,year
0,Alabama,418957.0,,914445.0,1333402.0,0.3142015686192161,0.6857984313807839,,2010
1,Alaska,77606.0,,175384.0,252990.0,0.30675520771572,0.69324479228428,,2010
2,Arizona,711837.0,4506.0,900510.0,1616853.0,0.44026080293013653,0.5569523017862478,0.0027868952836157647,2010
3,Arkansas,317975.0,4421.0,435422.0,757818.0,0.4195928309963606,0.5745733144369757,0.005833854566663764,2010
4,California,5148828.0,23628.0,4195494.0,9367950.0,0.5496216354698733,0.447856147823163,0.002522216706963637,2010
5,Colorado,800900.0,,884032.0,1684932.0,0.4753307551877464,0.5246692448122535,,2010
6,Connecticut,634947.0,2310.0,457976.0,1095233.0,0.579736914428254,0.4181539453248761,0.0021091402468698442,2010
7,Delaware,173543.0,,125442.0,298985.0,0.5804404903256016,0.41955950967439837,,2010
8,Florida,1853600.0,,3004616.0,4858216.0,0.38153923168504655,0.6184607683149534,,2010
9,Georgia,940347.0,,1528142.0,2468489.0,0.38094032422263174,0.6190596757773683,,2010
10,Hawaii,226430.0,,129127.0,355557.0,0.6368317878708618,0.36316821212913825,,2010
11,Idaho,150884.0,27865.0,263699.0,442448.0,0.34102086572885404,0.5959999819187791,0.06297915235236683,2010
12,Illinois,1876316.0,4428.0,1720016.0,3600760.0,0.5210888812361835,0.47768137837567626,0.0012297403881402814,2010
13,Indiana,679462.0,11218.0,972671.0,1663351.0,0.40848984970700714,0.5847659333478021,0.006744216945190762,2010
14,Iowa,479874.0,,597414.0,1077288.0,0.4454463430391873,0.5545536569608127,,2010
15,Kansas,274992.0,,528136.0,803128.0,0.34240121126395795,0.657598788736042,,2010
16,Kentucky,506319.0,1334.0,844369.0,1352022.0,0.374490207999574,0.62452312166518,0.0009866703352460241,2010
17,Louisiana,311221.0,,675387.0,986608.0,0.3154454454048619,0.6845545545951381,,2010
18,Maine,316156.0,,248170.0,564326.0,0.5602364590679856,0.4397635409320145,,2010
19,Maryland,1104056.0,,674246.0,1778302.0,0.620848427319994,0.379151572680006,,2010
20,Massachusetts,1335738.0,63435.0,808305.0,2207478.0,0.6050968571374211,0.3661667296344516,0.0287364132281273,2010
21,Michigan,1415212.0,,1671707.0,3086919.0,0.4584545302290083,0.5415454697709917,,2010
22,Minnesota,676131.0,23355.0,970741.0,1670227.0,0.40481383668207976,0.5812030340786013,0.013983129239318966,2010
23,Mississippi,350695.0,6560.0,423579.0,780834.0,0.4491287520779064,0.5424699744119749,0.008401273510118669,2010
24,Missouri,708064.0,7193.0,1103290.0,1818547.0,0.3893569976470226,0.606687646786143,0.003955355566834401,2010
25,Montana,121954.0,,217696.0,339650.0,0.35905785367289855,0.6409421463271014,,2010
26,Nebraska,137524.0,,327986.0,465510.0,0.2954265214495929,0.7045734785504071,,2010
27,Nevada,317835.0,6473.0,357369.0,681677.0,0.46625454577461173,0.524249754649196,0.009495699576192243,2010
28,New Hampshire,200563.0,6197.0,230265.0,437025.0,0.45892797894857273,0.5268920542303072,0.014179966821120073,2010
29,New Jersey,1024730.0,3006.0,1055299.0,2083035.0,0.49194084592913706,0.5066160674208546,0.0014430866500082812,2010
30,New Mexico,307766.0,,288885.0,596651.0,0.5158224824897637,0.4841775175102363,,2010
31,New York,2600900.0,,1612724.0,4213624.0,0.6172596320886724,0.38274036791132765,,2010
32,North Carolina,1204635.0,,1440913.0,2645548.0,0.45534422357863097,0.5446557764213691,,2010
33,North Dakota,106542.0,,129802.0,236344.0,0.45079206580238973,0.5492079341976103,,2010
34,Ohio,1611112.0,30556.0,2053075.0,3694743.0,0.43605522765724164,0.5556746436761637,0.008270128666594672,2010
35,Oklahoma,221966.0,51451.0,519563.0,792980.0,0.27991374309566447,0.6552031577088956,0.06488309919543998,2010
36,Oregon,733369.0,8380.0,657007.0,1398756.0,0.5243008787808595,0.4697080834684534,0.005991037750687039,2010
37,Pennsylvania,1882202.0,10988.0,2034145.0,3927335.0,0.4792567988215928,0.5179453751717131,0.002797826006694107,2010
38,Rhode Island,185711.0,22342.0,126951.0,335004.0,0.5543545748707478,0.3789536841351148,0.06669174099413738,2010
39,South Carolina,537323.0,,753932.0,1291255.0,0.4161246229443448,0.5838753770556552,,2010
40,South Dakota,146589.0,19134.0,153703.0,319426.0,0.45891380163167683,0.48118500059481695,0.05990119777350623,2010
41,Tennessee,541527.0,62515.0,955078.0,1559120.0,0.3473286212735389,0.6125750423315717,0.04009633639488942,2010
42,Texas,1450150.0,20868.0,3058203.0,4529221.0,0.3201764718480286,0.6752161133227987,0.0046074148291726106,2010
43,Utah,218236.0,,390969.0,609205.0,0.3582308090051789,0.6417691909948211,,2010
44,Vermont,154006.0,4704.0,76403.0,235113.0,0.655029709118594,0.3249628901847197,0.020007400696686273,2010
45,Virginia,911116.0,42002.0,1186098.0,2139216.0,0.42591117493511643,0.5544545291359078,0.01963429592897585,2010
46,Washington,1296502.0,47741.0,1135166.0,2479409.0,0.5229076767891058,0.4578373313963126,0.01925499181458162,2010
47,West Virginia,227857.0,,283085.0,510942.0,0.4459547267595931,0.554045273240407,,2010
48,Wisconsin,938690.0,10813.0,1165761.0,2115264.0,0.44376966657589784,0.5511184419533448,0.0051118914707573146,2010
49,Wyoming,45768.0,,131661.0,177429.0,0.2579510677510441,0.742048932248956,,2010
