,state,DEMOCRAT,INDEPENDENT,REPUBLICAN,Total,dem_votes_share,rep_votes_share,indep_votes_share,year
0,Alabama,124382.2,,203669.66666666666,328051.86666666664,0.3791540687265307,0.6208459312734694,,2016
1,Alaska,111019.0,,155088.0,266107.0,0.4171968418718786,0.5828031581281214,,2016
2,Arizona,129335.875,,126478.5,255814.375,0.5055848601158555,0.4944151398841445,,2016
3,Arkansas,111347.0,,190103.75,301450.75,0.36937045271905944,0.6306295472809406,,2016
4,California,143740.53333333333,,106409.84090909091,250150.37424242424,0.5746165032478918,0.4253834967521082,,2016
5,Colorado,180541.57142857142,,184088.2857142857,364629.85714285716,0.49513655530912165,0.5048634446908783,,2016
6,Connecticut,183363.0,4986.0,111632.4,299981.4,0.6112478973696369,0.3721310721264718,0.01662103050389124,2016
7,Delaware,233554.0,,172301.0,405855.0,0.5754616796639194,0.42453832033608063,,2016
8,Florida,147594.44444444444,,182062.6923076923,329657.13675213675,0.44772106528189026,0.5522789347181097,,2016
9,Georgia,149843.7,,174804.61538461538,324648.3153846154,0.4615569922871095,0.5384430077128906,,2016
10,Hawaii,158132.5,,42813.0,200945.5,0.7869422306048157,0.21305776939518425,,2016
11,Idaho,104496.0,,223772.0,328268.0,0.3183252708153094,0.6816747291846905,,2016
12,Illinois,175658.5,,149839.75,325498.25,0.539660351476544,0.460339648523456,,2016
13,Indiana,116989.0,,180373.625,297362.625,0.3934220045306635,0.6065779954693364,,2016
14,Iowa,168492.25,,203288.25,371780.5,0.4532035703862898,0.5467964296137102,,2016
15,Kansas,105878.33333333333,43380.0,173560.0,322818.3333333333,0.32798116587760917,0.5376398490379006,0.13437898508449025,2016
16,Kentucky,129226.0,,208023.33333333334,337249.3333333334,0.38317644314592164,0.6168235568540782,,2016
17,Louisiana,48186.36363636364,,65419.055555555555,113605.4191919192,0.42415550225610327,0.5758444977438967,,2016
18,Maine,193313.5,,178723.5,372037.0,0.5196082647693644,0.48039173523063566,,2016
19,Maryland,204525.0,,120261.0,324786.0,0.629722340248656,0.37027765975134397,,2016
20,Massachusetts,260502.0,41868.5,112780.25,415150.75,0.6274877258441662,0.27166095689336944,0.1008513172624643,2016
21,Michigan,156712.85714285713,,160243.0,316955.85714285716,0.4944311758600003,0.5055688241399996,,2016
22,Minnesota,194999.2,,166834.875,361834.075,0.5389188400788401,0.46108115992116,,2016
23,Mississippi,112474.0,6918.0,170202.5,289594.5,0.38838444790905907,0.5877269768590219,0.023888575231919115,2016
24,Missouri,130163.25,,200065.5,330228.75,0.39416086576350484,0.6058391342364952,,2016
25,Montana,205919.0,,285358.0,491277.0,0.41915049961630607,0.5808495003836939,,2016
26,Nebraska,110534.5,,185852.33333333334,296386.8333333334,0.3729399810270474,0.6270600189729525,,2016
27,Nevada,127028.25,,124526.0,251554.25,0.5049735792577545,0.49502642074224545,,2016
28,New Hampshire,168225.5,19295.0,158000.5,345521.0,0.4868748932771091,0.4572819018236229,0.05584320489926806,2016
29,New Jersey,151801.66666666666,,128469.25,280270.9166666666,0.5416247553334557,0.45837524466654445,,2016
30,New Mexico,145644.0,,114374.66666666667,260018.6666666667,0.5601290163783113,0.4398709836216887,,2016
31,New York,155637.03703703705,,93083.34782608696,248720.384863124,0.6257510301083177,0.37424896989168244,,2016
32,North Carolina,164820.07692307694,,188255.84615384616,353075.9230769231,0.46681199750674673,0.5331880024932532,,2016
33,North Dakota,80377.0,,233980.0,314357.0,0.25568700553828927,0.7443129944617107,,2016
34,Ohio,134657.6875,,187251.0625,321908.75,0.41831011893898506,0.5816898810610149,,2016
35,Oklahoma,76305.5,16644.0,156338.4,249287.9,0.3060938778015299,0.6271399454205359,0.06676617677793427,2016
36,Oregon,205370.2,78154.0,182723.5,466247.7,0.44047445167021737,0.3919022013406179,0.16762334698916476,2016
37,Pennsylvania,164072.3125,,182151.5294117647,346223.8419117647,0.4738908551012322,0.5261091448987678,,2016
38,Rhode Island,131821.0,12597.5,70662.0,215080.5,0.6128914522701965,0.32853745458095923,0.05857109314884427,2016
39,South Carolina,109661.0,,168195.0,277856.0,0.39466846136128064,0.6053315386387194,,2016
40,South Dakota,132810.0,,237163.0,369973.0,0.3589721412103045,0.6410278587896955,,2016
41,Tennessee,90464.55555555556,6927.833333333333,165971.11111111112,263363.5,0.34349693695426875,0.6301978486430775,0.026305214402653872,2016
42,Texas,112876.25,,143458.9705882353,256335.2205882353,0.4403462377935143,0.5596537622064858,,2016
43,Utah,89071.75,,177658.75,266730.5,0.33393912582175644,0.6660608741782436,,2016
44,Vermont,264414.0,,,264414.0,1.0,,,2016
45,Virginia,169038.72727272726,12193.333333333334,184301.0,365533.0606060606,0.4624444283985091,0.50419789579204,0.03335767580945089,2016
46,Washington,173614.5,,140489.0,314103.5,0.5527302306405373,0.4472697693594627,,2016
47,West Virginia,74816.33333333333,,148339.0,223155.3333333333,0.33526571924489074,0.6647342807551093,,2016
48,Wisconsin,172499.5,26605.0,211713.16666666666,410817.6666666666,0.41989309125784113,0.5153458184612314,0.06476109028092755,2016
49,Wyoming,75466.0,,156176.0,231642.0,0.3257872061197883,0.6742127938802117,,2016
