,corporation,2021 overall score,Affinity,Ethics,Growth,Products/service,Citizenship,Vision,Culture,2019 Ranking,2019 Demo_Democrat,2019 Demo_Independent,2019 Demo_Republican
0,Patagonia,82.7,81.9,84.7,83.4,85.4,82.0,82.9,82.5,81.35768639,81.66463275,80.19935388,82.50762409
1,Honda Motor Company,81.6,81.1,81.3,83.1,85.5,75.7,83.3,81.6,75.98230581,75.68677671,75.35248219,77.12325425
2,Chick-fil-A,81.1,82.0,82.5,84.8,82.5,77.9,81.4,82.3,77.51179741,74.51824746,71.74057838,87.15877776
3,Tesla Motors,80.2,75.5,76.3,84.4,84.9,72.2,85.7,79.4,75.41840457,79.7191667,73.99812353,72.08017488
4,Costco,80.1,81.5,80.1,81.6,81.8,78.0,81.8,81.8,78.64085754,80.9914478,74.73871121,81.26388756
5,Amazon.com,80.0,80.8,76.2,86.5,84.0,73.9,84.5,77.7,82.26845916,82.23278887,84.09055011,80.47984111
6,USAA,79.2,79.7,81.1,82.9,80.2,78.9,82.5,81.0,78.82133788,79.43176997,76.65626312,80.15643782
7,Wegmans,79.2,77.8,80.7,80.9,80.1,77.1,81.1,79.9,82.96827078,84.29117755,80.96062339,83.81961666
8,Unilever,79.2,79.3,76.7,81.4,81.8,77.6,80.8,80.1,77.29355029,80.69528109,69.46242894,83.37274322
9,Apple,79.1,77.4,74.7,84.1,84.8,71.6,81.5,80.3,76.38578812,77.01988839,74.56321391,77.67985243
10,Toyota Motor Corporation,78.7,78.1,79.2,80.3,81.7,73.6,82.4,79.8,75.88824155,79.22105976,73.93661269,74.46127671
11,UPS,78.6,78.7,77.3,80.5,79.0,74.7,79.9,81.1,79.34060591,79.03965585,77.53168618,82.12002584
12,PepsiCo,78.5,77.0,79.6,82.1,81.3,74.4,84.3,81.7,74.15389042,73.98149444,72.0043509,76.71078014
13,IKEA,78.4,80.6,79.3,81.9,80.4,73.9,80.7,79.4,77.27492939,80.34216203,75.72479961,75.82941724
14,Lowe's,78.3,80.2,78.5,80.0,79.5,74.7,79.4,77.4,77.87514352,80.67868313,73.96045918,80.09383526
15,Publix Supermarkets,78.2,78.2,77.1,81.3,79.3,74.6,78.9,81.0,80.28739857,81.6266733,74.0772116,83.23932879
16,CVS (CVS Health),78.2,80.4,78.7,81.9,80.8,76.7,80.7,77.9,74.55677535,73.30199503,73.05586794,78.76478763
17,"HP, Inc.",78.1,77.5,76.5,79.8,82.5,70.7,79.2,79.2,75.60501706,74.12422108,75.42177417,77.45578393
18,Berkshire Hathaway,78.0,78.0,76.9,81.0,79.4,74.8,80.9,80.7,75.10186976,75.87669536,73.04489644,77.44898982
19,Nestle,77.7,77.1,77.1,81.0,80.8,72.3,83.1,79.8,77.13165213,76.8627202,73.12864165,83.51388721
20,The Kroger Company,77.5,78.0,78.9,80.0,80.5,74.2,79.2,77.9,77.86536457,79.97495143,74.33451049,79.97332002
21,Samsung,77.5,70.7,70.1,72.6,74.6,67.2,73.9,75.0,79.99742621,80.70384872,77.07015081,83.37339446
22,Sony,77.3,76.6,76.7,78.4,81.9,71.6,79.5,77.6,79.38658225,82.23615294,75.15660117,81.83222309
23,Procter & Gamble Co.,77.0,76.6,78.2,79.8,82.2,73.2,78.2,77.4,79.84890292,82.48271077,76.97866132,79.93156672
24,Microsoft,76.8,73.5,72.5,79.2,82.1,70.6,77.0,78.5,79.70865853,79.64487845,77.72692129,81.50671003
25,The Walt Disney Company,76.7,73.4,76.0,80.7,81.6,72.4,82.4,75.5,80.37410982,82.95696761,78.58395642,80.37260144
26,Netflix,76.4,78.4,74.6,80.3,80.6,71.7,78.9,76.6,77.30033204,80.84802416,71.69545347,81.03782178
27,IBM,76.3,74.0,77.0,77.0,80.4,71.8,78.3,77.9,74.28906735,75.3335229,72.41757886,75.2243912
28,General Electric,76.1,75.6,75.1,76.3,79.6,70.5,76.0,77.2,75.33477738,77.12399845,72.28799929,76.50305828
29,Target,76.0,75.6,76.7,78.4,75.8,74.5,78.1,75.9,69.90978356,77.02178406,68.96170672,63.43066247
30,Citigroup,75.7,73.5,74.0,79.7,78.6,70.9,77.8,75.7,68.82494317,66.51531566,69.64663868,70.08611899
31,American Express,75.6,76.1,76.5,79.7,77.8,69.9,79.4,77.3,74.64285599,76.88691957,70.72410049,75.7060483
32,The Home Depot,75.4,75.8,74.4,78.5,78.0,70.9,77.1,76.8,79.11761146,76.73844312,77.97438321,82.75882948
33,Walgreens,75.3,77.0,77.1,77.8,76.8,74.2,77.7,75.4,75.44054763,75.91083055,69.82950257,81.64067261
34,Best Buy,75.2,75.3,75.3,74.3,80.0,69.7,74.5,73.0,76.13069004,74.08411668,75.61432287,79.06504197
35,Adidas,75.1,73.6,74.7,77.7,79.7,73.1,77.4,74.7,77.27465501,77.61309221,74.60686168,81.47114738
36,Ford Motor Company,75.1,73.2,76.0,77.8,77.9,70.0,78.3,76.7,73.04260164,76.04080948,71.52328185,71.66220325
37,"Electronic Arts, Inc.",74.7,74.9,73.1,77.7,79.1,70.5,77.8,74.7,73.59913136,77.28093212,69.68639694,73.37402547
38,State Farm Insurance,74.7,75.2,75.8,76.7,75.0,71.8,77.2,75.2,71.53096425,75.47336301,69.5464817,72.01817066
39,Hobby Lobby,74.5,76.7,76.5,76.9,76.5,70.5,76.8,75.1,78.8565711,75.98443471,77.88667718,83.21549236
40,JPMorgan Chase & Co.,74.5,73.5,74.0,79.4,76.9,69.2,78.1,76.9,73.59562399,73.09936189,70.31421529,77.58632368
41,Kohl's,74.4,77.0,76.4,74.2,76.8,72.6,77.0,73.4,75.87611515,77.51307289,72.63087661,78.22601285
42,T-Mobile,74.3,72.7,73.5,79.5,75.3,69.3,79.3,75.1,71.78701432,71.93827789,69.18685324,76.12664383
43,The Coca-Cola Company,73.7,73.3,71.6,76.5,77.4,68.2,72.2,74.9,76.8453925,76.03053358,73.93260747,81.01422418
44,Google,73.3,70.0,66.9,76.5,76.7,67.0,77.4,73.7,75.42987576,82.12222439,72.04616102,71.55094669
45,Verizon Communications,73.2,71.9,71.4,77.4,76.6,67.9,75.2,74.1,71.60355921,72.13010218,68.8649555,73.69111082
